a2ps,
aajohan-comfortaa-fonts,
abattis-cantarell-fonts,
abrt,
acl,
acpica-tools,
acpid,
adcli,
adobe-source-han-sans-cn-fonts,
adobe-source-han-sans-tw-fonts,
adobe-source-han-serif-cn-fonts,
adobe-source-han-serif-tw-fonts,
adwaita-qt,
aide,
alacarte,
alsa-firmware,
alsa-lib,
alsa-plugins,
alsa-tools,
alsa-utils,
amanda,
anaconda,"used to generate the installation media; this is a necessary implementation detail"
ansible,
apr,
apr-util,
arptables,
arpwatch,
at,
atlas,
attr,
audit,
authselect,
autofs,
avahi,
bacula,
baekmuk-ttf-fonts,
baobab,
bash,
bash-completion,
bind,
bind-dyndb-ldap,
biosdevname,"needed to build the `hardware-support` module; "
bitmap-fonts,
blktrace,
bltk,
bluez,
booth,
bpg-fonts,
brasero,
brltty,
bzr,
c2esp,
ca-certificates,
cabal-install,
cachefilesd,
cassandra,
cdrdao,
certmonger,
cgdcbxd,
checkpolicy,
chkconfig,
chrony,
cifs-utils,
cjkuni-ukai-fonts,
cjkuni-uming-fonts,
clevis,
cloud-init,
clufter,
clutter-gst2,
cmpi-bindings,
compat-openssl10,
conntrack-tools,
corosync,
cpuid,
cracklib,
crda,
createrepo_c,
criu,
cronie,
crontabs,
cryptsetup,
cscope,
culmus-fonts,
cups,
cups-filters,
custodia,
cyrus-imapd,
cyrus-sasl,
dash,
dconf-editor,
dejavu-fonts,
deltarpm,
devhelp,
device-mapper-multipath,
device-mapper-persistent-data,
dhcp,
dlm,
dmraid,
dnf,
dnf-plugins-core,
dnf-plugins-extras,
dnsmasq,
dnssec-trigger,
docker-distribution,
docker-latest,
dovecot,
dpdk,
driverctl,
dropwatch,
dstat,
dump,
dvd+rw-tools,
e2fsprogs,
ebtables,
edac-utils,
egl-wayland,
ElectricFence,
emacs,
emacs-haskell-mode,
enchant,
enscript,
environment-modules,
eog,
etcd,
ethtool,
evemu,
evince,
evolution,
evolution-ews,
evolution-mapi,
fabtests,
farstream02,
fcoe-utils,
fence-agents,
fence-virt,
festival,
fetchmail,
file,
file-roller,
findutils,
fio,
fipscheck,
firefox,
firewalld,
flannel,
flatpak,
fltk,
folks,
foomatic,
foomatic-db,
fprintd,
freeipa,
freeipmi,
freeradius,
freerdp,
ftp,
fwupd,
fwupdate,
fxload,
galera,
gedit,
gedit-plugins,
genwqe-tools,
gfs2-utils,
ghc,
glade3,
gmp,
gnome-abrt,
gnome-backgrounds,
gnome-boxes,
gnome-calculator,
gnome-characters,
gnome-clocks,
gnome-color-manager,
gnome-contacts,
gnome-devel-docs,
gnome-disk-utility,
gnome-documents,
gnome-font-viewer,
gnome-getting-started-docs,
gnome-initial-setup,
gnome-logs,
gnome-menus,
gnome-online-miners,
gnome-screenshot,
gnome-session,
gnome-shell-extensions,
gnome-software,
gnome-system-monitor,
gnome-terminal,
gnome-tweak-tool,
gnome-user-docs,
gnome-weather,
gnu-free-fonts,
gnupg2,
gnutls,
google-crosextra-caladea-fonts,
google-crosextra-carlito-fonts,
google-noto-cjk-fonts,
google-noto-fonts,
gperftools,
grep,
grilo-plugins,
gsound,
gssproxy,
gstreamer1-plugins-ugly-free,
gtk2,
gtk3,
gubbi-fonts,
gucharmap,
gutenprint,
haproxy,
haskell-platform,
hexchat,
highcontrast-qt,
hivex,
hlint,
hplip,
hsakmt,
httpd,
hunspell-af,
hunspell-ak,
hunspell-am,
hunspell-ar,
hunspell-as,
hunspell-ast,
hunspell-az,
hunspell-be,
hunspell-ber,
